Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,Travel_Rarely,Sales,2,3,4,Male,3,Sales Executive,Married,9602,4,Yes,3,3,1,17,3,2,3,0,1,0
35,Travel_Rarely,Research & Development,6,1,3,Male,3,Research Scientist,Married,3506,0,Yes,3,4,0,4,3,3,3,2,2,2
54,Travel_Frequently,Research & Development,11,4,2,Female,3,Manager,Divorced,16032,3,No,4,1,1,26,2,3,14,9,1,12
33,Travel_Frequently,Sales,10,3,2,Male,2,Sales Executive,Single,4682,3,No,3,3,0,9,6,2,7,7,0,1
35,Travel_Rarely,Research & Development,1,3,2,Male,2,Research Scientist,Single,2859,1,No,3,1,0,6,3,3,6,4,0,4
47,Travel_Rarely,Research & Development,25,3,1,Male,3,Healthcare Representative,Single,8633,2,No,4,2,0,25,3,3,17,14,12,11
35,Travel_Rarely,Research & Development,10,3,2,Male,3,Laboratory Technician,Divorced,3917,1,No,4,1,1,3,4,2,3,2,1,2
49,Travel_Rarely,Research & Development,16,3,4,Female,3,Laboratory Technician,Divorced,2587,4,Yes,3,2,1,17,2,2,2,2,2,2
38,Travel_Rarely,Sales,9,3,2,Male,2,Sales Representative,Married,2899,0,No,3,4,1,3,3,3,2,2,1,2
35,Travel_Rarely,Research & Development,14,4,3,Male,2,Laboratory Technician,Divorced,3743,1,Yes,4,4,1,5,2,1,4,2,0,2
22,Travel_Rarely,Research & Development,8,1,2,Male,1,Laboratory Technician,Married,2451,1,No,3,1,1,4,3,2,4,3,1,1
28,Travel_Rarely,Research & Development,15,2,1,Male,3,Laboratory Technician,Divorced,2207,1,No,3,4,1,4,5,2,4,2,2,2
53,Travel_Rarely,Sales,24,4,1,Male,3,Sales Executive,Single,10448,6,Yes,3,2,0,15,2,2,2,2,2,2
24,Travel_Rarely,Sales,1,1,1,Female,3,Sales Representative,Single,3202,1,Yes,3,2,0,6,4,3,5,3,1,4
42,Travel_Rarely,Research & Development,18,4,4,Male,3,Research Scientist,Divorced,5410,6,Yes,3,3,1,9,3,2,4,3,1,2
31,Travel_Rarely,Research & Development,9,1,3,Male,3,Manufacturing Director,Divorced,10648,1,No,4,4,1,13,6,4,13,8,0,8
41,Travel_Rarely,Sales,1,3,2,Male,4,Sales Executive,Married,8392,1,No,3,3,1,10,2,3,10,7,0,7
43,Travel_Rarely,Human Resources,2,3,2,Male,3,Human Resources,Single,3539,0,No,3,2,0,10,5,3,9,7,1,8
32,Travel_Frequently,Research & Development,24,4,1,Male,3,Laboratory Technician,Married,5309,1,No,3,4,2,10,2,3,10,8,4,7
46,Travel_Rarely,Human Resources,1,2,4,Female,3,Human Resources,Single,3423,6,No,3,3,0,10,3,4,7,6,5,7
56,Travel_Frequently,Research & Development,9,3,1,Female,3,Research Scientist,Married,2942,2,No,3,2,1,18,4,3,5,4,0,3
45,Travel_Rarely,Research & Development,2,3,2,Female,2,Research Scientist,Single,2274,1,No,3,4,0,1,3,3,1,0,0,0
53,Travel_Rarely,Research & Development,2,3,4,Male,4,Research Director,Single,16598,4,No,3,2,0,35,2,2,9,8,8,8
35,Travel_Rarely,Sales,15,2,1,Male,1,Sales Executive,Divorced,5440,6,Yes,3,4,2,7,2,2,2,2,2,2
32,Non-Travel,Research & Development,1,3,4,Male,3,Laboratory Technician,Divorced,2314,0,No,3,2,1,4,2,3,3,0,0,2
36,Non-Travel,Research & Development,18,4,1,Male,3,Manufacturing Director,Single,7779,2,No,4,1,0,18,0,3,11,9,0,9
45,Non-Travel,Sales,6,3,4,Female,2,Sales Executive,Single,8865,6,No,3,4,0,23,2,3,19,7,12,8
29,Travel_Rarely,Sales,9,3,2,Female,1,Sales Representative,Single,2760,1,No,3,3,0,2,3,3,2,2,2,2
44,Travel_Frequently,Research & Development,2,1,2,Male,3,Manufacturing Director,Single,10209,5,Yes,3,2,0,16,2,2,2,2,2,2
39,Travel_Rarely,Research & Development,1,3,3,Male,4,Healthcare Representative,Divorced,9613,0,No,3,1,3,19,5,2,18,10,3,7
44,Travel_Rarely,Research & Development,15,3,1,Female,3,Healthcare Representative,Married,7978,1,No,3,4,1,10,2,3,10,7,0,5
39,Travel_Rarely,Sales,15,4,2,Male,3,Sales Executive,Single,13341,0,No,3,1,0,21,3,3,20,8,11,10
27,Travel_Rarely,Sales,11,3,3,Female,4,Sales Representative,Married,2534,8,No,3,2,1,5,4,3,1,0,0,0
42,Travel_Rarely,Research & Development,12,3,2,Male,3,Laboratory Technician,Divorced,2766,8,No,4,2,3,7,6,2,5,3,0,4
52,Travel_Rarely,Research & Development,8,4,3,Female,3,Laboratory Technician,Married,2950,9,No,3,3,0,12,2,1,5,4,0,4
33,Travel_Rarely,Research & Development,14,3,4,Female,3,Research Scientist,Married,2756,1,No,3,4,1,8,5,3,8,7,1,6
33,Travel_Rarely,Sales,16,3,1,Female,3,Sales Executive,Single,5324,5,No,3,3,0,6,3,3,3,2,0,2
53,Travel_Rarely,Research & Development,5,3,3,Female,3,Manager,Divorced,19094,4,No,3,4,1,26,3,2,14,13,4,8
39,Travel_Rarely,Human Resources,2,3,4,Female,2,Human Resources,Married,5204,8,No,3,3,2,13,2,3,5,4,0,4
55,Travel_Rarely,Research & Development,2,4,2,Male,2,Research Scientist,Married,2662,8,No,4,2,1,19,2,4,5,2,0,4
47,Travel_Rarely,Sales,14,3,3,Female,3,Sales Executive,Married,4591,3,Yes,3,3,1,11,4,2,5,4,1,2
41,Travel_Frequently,Sales,1,3,3,Female,3,Sales Executive,Divorced,4103,0,No,3,4,1,10,2,3,9,3,1,7
43,Travel_Rarely,Research & Development,12,3,1,Male,2,Research Director,Divorced,14336,1,No,3,3,1,25,3,3,25,10,3,9
30,Travel_Frequently,Research & Development,5,4,2,Male,2,Research Scientist,Divorced,3761,9,No,3,2,1,10,3,2,5,4,0,3
37,Travel_Rarely,Research & Development,1,2,3,Female,2,Research Scientist,Married,3920,2,No,3,1,1,17,2,2,3,1,0,2
57,Travel_Rarely,Research & Development,24,2,3,Male,4,Healthcare Representative,Divorced,9439,3,Yes,3,2,1,12,2,1,5,3,1,4
37,Travel_Frequently,Sales,21,2,3,Female,3,Sales Representative,Married,2973,5,No,3,2,1,10,3,3,5,4,0,0
47,Travel_Rarely,Research & Development,2,4,1,Female,3,Research Director,Married,17169,3,No,3,2,2,26,2,4,20,17,5,6
29,Travel_Rarely,Research & Development,1,4,1,Male,3,Research Scientist,Married,4787,9,Yes,3,2,3,4,3,4,2,2,2,2
36,Travel_Rarely,Research & Development,9,3,4,Male,2,Research Scientist,Married,3388,0,Yes,3,1,1,2,0,2,1,0,0,0
28,Travel_Rarely,Research & Development,2,1,1,Male,2,Research Scientist,Married,3201,0,No,3,1,0,6,2,1,5,3,0,4
33,Non-Travel,Research & Development,1,2,2,Male,2,Laboratory Technician,Divorced,2008,1,No,3,3,3,1,2,2,1,1,0,0
52,Travel_Rarely,Sales,5,3,2,Male,3,Sales Executive,Single,8446,9,Yes,3,3,0,10,2,2,8,7,7,7
29,Travel_Rarely,Research & Development,1,3,4,Female,2,Research Director,Divorced,16124,3,No,3,2,2,9,2,2,7,7,1,7
52,Non-Travel,Sales,29,4,1,Male,3,Sales Representative,Divorced,3482,2,No,3,2,2,16,3,2,9,8,0,0
28,Travel_Rarely,Sales,5,4,1,Male,3,Sales Executive,Single,4908,1,No,3,2,0,4,3,3,4,2,0,2
37,Travel_Rarely,Sales,3,3,3,Male,3,Sales Executive,Single,7428,2,No,3,1,0,12,3,3,5,3,1,3
54,Travel_Rarely,Human Resources,19,4,3,Male,3,Human Resources,Married,10725,2,No,3,3,1,16,1,4,9,7,7,1
40,Travel_Frequently,Research & Development,26,3,2,Female,3,Research Scientist,Divorced,5605,1,No,3,1,1,20,2,3,20,7,2,13
52,Non-Travel,Sales,2,4,1,Male,2,Manager,Single,19068,1,Yes,3,4,0,33,2,4,33,7,15,12
39,Travel_Rarely,Research & Development,6,3,2,Female,3,Manufacturing Director,Single,8376,4,No,3,4,0,9,3,3,2,0,2,2
53,Travel_Rarely,Sales,6,2,2,Male,3,Sales Representative,Married,2306,2,Yes,4,4,1,13,3,1,7,7,4,5
30,Travel_Rarely,Research & Development,17,4,2,Female,3,Manager,Married,11916,1,Yes,4,4,2,9,2,3,9,1,0,8
55,Non-Travel,Research & Development,8,1,4,Male,2,Healthcare Representative,Divorced,13577,1,Yes,3,4,1,34,3,3,33,9,15,0
46,Travel_Rarely,Research & Development,13,4,3,Male,3,Healthcare Representative,Single,5562,6,No,3,4,0,19,3,3,10,7,0,9
21,Travel_Rarely,Research & Development,5,1,3,Male,3,Research Scientist,Single,3117,1,No,3,3,0,3,2,3,2,2,2,2
35,Non-Travel,Research & Development,11,2,3,Male,2,Healthcare Representative,Married,9884,2,Yes,3,3,1,10,3,3,4,0,2,3
32,Travel_Rarely,Sales,7,3,4,Male,2,Sales Executive,Married,5484,1,No,3,3,1,13,3,2,13,8,4,8
40,Travel_Rarely,Sales,7,4,2,Male,3,Manager,Single,19833,1,No,3,2,0,21,3,2,21,8,12,8
42,Travel_Rarely,Research & Development,2,4,3,Female,3,Healthcare Representative,Married,4089,1,No,3,2,2,10,4,3,10,2,2,2
18,Non-Travel,Research & Development,1,3,4,Female,3,Laboratory Technician,Single,1611,1,No,3,3,0,0,5,4,0,0,0,0
38,Travel_Rarely,Research & Development,3,5,4,Female,3,Research Scientist,Single,4317,3,Yes,4,2,0,19,2,3,3,2,2,2
24,Travel_Rarely,Research & Development,18,1,2,Male,3,Laboratory Technician,Married,2774,0,No,3,3,1,6,2,3,5,3,1,2
48,Travel_Frequently,Research & Development,4,5,3,Male,2,Manager,Married,15202,2,No,4,2,1,23,3,3,2,2,2,2
34,Travel_Frequently,Research & Development,19,3,3,Female,3,Laboratory Technician,Divorced,4444,4,No,3,3,2,15,2,4,11,8,5,10
43,Travel_Rarely,Sales,9,3,1,Female,1,Sales Executive,Single,5346,8,No,3,2,0,7,2,2,4,3,1,3
38,Non-Travel,Sales,2,2,4,Male,2,Sales Executive,Married,5249,3,No,3,4,1,13,0,3,8,7,7,5
26,Travel_Rarely,Research & Development,1,3,3,Male,3,Laboratory Technician,Single,2867,0,No,3,4,0,8,6,2,7,7,7,6
59,Travel_Rarely,Research & Development,3,3,3,Male,2,Research Scientist,Married,2177,3,No,3,1,1,7,6,3,1,0,0,0
31,Travel_Frequently,Sales,5,3,4,Female,3,Sales Representative,Divorced,2789,1,No,3,3,1,2,5,2,2,2,2,2
47,Travel_Rarely,Human Resources,26,4,4,Female,3,Manager,Married,19658,3,No,3,3,1,27,2,3,5,2,1,0
29,Travel_Rarely,Sales,23,1,4,Female,2,Sales Executive,Married,7336,1,No,3,1,1,11,3,1,11,8,3,10
59,Travel_Rarely,Human Resources,6,2,2,Male,3,Human Resources,Married,2267,8,No,3,4,0,7,2,2,2,2,2,2
35,Travel_Rarely,Research & Development,2,3,1,Female,3,Laboratory Technician,Divorced,2074,1,Yes,3,4,1,1,2,3,1,0,0,0
31,Travel_Rarely,Sales,2,1,2,Male,3,Sales Executive,Single,6582,4,Yes,3,3,0,10,2,4,6,5,0,5
57,Travel_Rarely,Research & Development,1,4,4,Male,3,Healthcare Representative,Married,6755,2,No,3,3,0,15,2,3,3,2,1,2
29,Travel_Rarely,Research & Development,7,3,3,Male,3,Healthcare Representative,Divorced,6623,1,Yes,3,2,2,6,2,3,6,0,1,0
38,Travel_Rarely,Research & Development,1,3,4,Female,3,Research Director,Married,13582,1,No,3,2,1,15,3,3,15,12,5,11
38,Travel_Frequently,Human Resources,10,4,3,Male,3,Human Resources,Married,6077,3,No,3,3,0,10,2,3,6,3,1,2
28,Travel_Rarely,Research & Development,16,2,2,Male,4,Healthcare Representative,Single,5661,0,No,3,3,0,9,2,3,8,3,0,7
43,Travel_Frequently,Research & Development,17,3,3,Male,2,Research Scientist,Married,2437,9,Yes,3,4,1,6,4,3,1,0,0,0
35,Travel_Rarely,Research & Development,7,3,3,Male,3,Manufacturing Director,Single,10221,3,No,4,2,0,17,3,4,8,5,1,6
25,Travel_Rarely,Sales,18,1,1,Male,4,Sales Executive,Married,6232,2,No,3,2,0,6,3,2,3,2,1,2
45,Travel_Rarely,Research & Development,20,3,2,Male,1,Healthcare Representative,Divorced,10851,2,Yes,3,2,1,24,2,3,7,7,0,7
43,Travel_Rarely,Sales,2,3,4,Male,3,Sales Executive,Married,7847,1,Yes,3,1,1,10,3,3,10,9,8,8
40,Non-Travel,Research & Development,9,5,4,Male,2,Healthcare Representative,Married,4876,9,No,3,4,1,5,5,1,3,2,0,2
41,Travel_Rarely,Research & Development,1,3,4,Male,3,Research Scientist,Married,2782,3,No,4,1,1,12,3,3,5,3,1,0
42,Travel_Rarely,Research & Development,17,2,4,Female,4,Research Scientist,Single,6545,3,Yes,3,3,0,10,1,3,3,2,0,2
38,Travel_Rarely,Research & Development,18,3,2,Male,1,Healthcare Representative,Married,5811,3,Yes,3,3,1,15,2,3,1,0,1,0
47,Travel_Frequently,Sales,9,3,3,Male,1,Sales Executive,Married,12936,7,No,3,3,0,25,3,1,23,5,14,10
23,Travel_Rarely,Research & Development,4,3,1,Male,4,Research Scientist,Married,2819,2,No,3,1,1,5,3,4,3,2,0,2
31,Travel_Rarely,Research & Development,22,4,4,Male,3,Manufacturing Director,Married,6179,1,Yes,3,4,2,10,3,2,10,2,6,7
31,Travel_Rarely,Sales,5,4,1,Female,3,Sales Executive,Married,5476,1,No,3,1,2,10,2,3,10,0,0,2
30,Travel_Frequently,Research & Development,23,3,1,Male,1,Research Scientist,Divorced,2613,1,No,4,3,3,10,2,2,10,7,0,9
45,Travel_Rarely,Sales,11,2,4,Female,3,Manager,Married,17650,3,No,3,2,1,26,4,4,9,3,1,1
30,Travel_Rarely,Research & Development,1,3,4,Male,1,Laboratory Technician,Married,3833,3,No,4,3,2,7,2,3,2,2,0,2
36,Travel_Rarely,Research & Development,9,2,2,Male,2,Manufacturing Director,Divorced,8847,2,Yes,3,3,1,13,2,3,3,2,0,2
26,Non-Travel,Research & Development,7,3,4,Male,3,Laboratory Technician,Single,2570,1,No,4,3,0,7,5,3,7,7,5,7
34,Travel_Rarely,Research & Development,8,3,2,Male,4,Laboratory Technician,Married,4404,2,No,3,1,0,6,3,4,4,3,1,2
39,Non-Travel,Research & Development,9,3,3,Male,3,Laboratory Technician,Single,6782,9,No,3,3,0,9,2,2,5,4,0,3
50,Travel_Frequently,Research & Development,1,3,1,Female,3,Research Director,Married,18172,3,Yes,3,1,0,28,1,2,8,3,0,7
35,Travel_Rarely,Research & Development,18,5,2,Male,4,Research Scientist,Married,5208,1,No,3,4,0,16,2,3,16,15,1,10
41,Travel_Rarely,Research & Development,7,2,4,Female,3,Manufacturing Director,Single,5003,6,No,3,2,0,8,6,3,2,2,2,1
38,Travel_Rarely,Sales,10,4,3,Male,2,Sales Executive,Divorced,8740,0,Yes,3,2,2,9,2,3,8,7,2,7
25,Travel_Rarely,Sales,26,1,3,Female,3,Sales Executive,Single,6180,1,No,4,2,0,6,5,2,6,5,1,4
31,Travel_Rarely,Sales,7,4,2,Male,2,Sales Representative,Married,2329,3,No,3,2,0,13,2,4,7,7,5,2
37,Travel_Rarely,Research & Development,5,2,4,Male,3,Manufacturing Director,Divorced,6347,7,No,3,3,2,8,2,2,6,2,0,4
29,Travel_Rarely,Research & Development,28,4,3,Female,3,Research Scientist,Divorced,2514,4,No,4,1,1,11,1,3,7,5,1,7
38,Travel_Rarely,Sales,1,4,1,Female,2,Sales Executive,Single,8686,4,No,4,3,0,12,2,4,8,3,0,7
34,Travel_Rarely,Sales,15,2,3,Female,3,Sales Executive,Single,6125,1,No,3,4,0,10,6,4,10,8,9,6
27,Travel_Rarely,Research & Development,14,3,1,Male,3,Research Scientist,Married,2235,1,Yes,3,4,2,9,3,2,9,7,6,8
31,Travel_Frequently,Research & Development,1,1,3,Female,3,Manufacturing Director,Married,4148,1,No,3,3,1,4,1,3,4,3,0,3
28,Non-Travel,Research & Development,16,3,3,Male,3,Research Scientist,Single,2144,1,No,3,3,0,5,3,2,5,3,1,4
35,Travel_Rarely,Research & Development,23,4,2,Male,1,Laboratory Technician,Married,2705,0,No,3,2,1,6,2,4,5,4,0,3
40,Travel_Rarely,Research & Development,8,2,2,Female,3,Manufacturing Director,Married,6516,2,Yes,3,2,1,18,3,3,1,0,0,0
56,Travel_Rarely,Research & Development,14,4,2,Female,3,Research Scientist,Married,4963,9,Yes,3,1,3,7,2,3,5,4,4,3
32,Travel_Frequently,Research & Development,7,3,2,Male,4,Laboratory Technician,Married,2794,1,No,4,3,0,5,3,1,5,1,0,3
26,Travel_Rarely,Research & Development,2,2,4,Male,4,Manufacturing Director,Married,5472,1,No,3,2,0,8,2,3,8,7,1,3
43,Travel_Rarely,Research & Development,14,2,2,Male,3,Research Director,Married,17159,6,No,4,3,1,22,3,3,4,1,1,0
34,Travel_Rarely,Research & Development,2,4,4,Male,2,Research Scientist,Divorced,2768,3,No,3,3,1,14,3,3,7,3,5,7
26,Travel_Rarely,Sales,29,2,1,Male,3,Sales Executive,Divorced,4306,5,No,3,1,2,8,5,3,0,0,0,0
31,Travel_Rarely,Sales,10,2,3,Female,3,Sales Executive,Divorced,6583,2,Yes,3,4,1,8,2,3,5,2,1,4
57,Travel_Rarely,Research & Development,1,2,2,Male,4,Research Scientist,Married,4900,0,No,4,1,1,13,2,2,12,9,2,8
32,Non-Travel,Sales,2,1,3,Female,3,Sales Representative,Divorced,2827,1,No,3,3,3,1,3,3,1,0,0,0
44,Travel_Rarely,Research & Development,3,3,1,Male,3,Laboratory Technician,Married,2362,4,No,3,3,0,10,4,4,3,2,1,2
35,Non-Travel,Research & Development,2,4,4,Female,3,Healthcare Representative,Divorced,5093,2,No,3,1,1,16,2,4,1,0,0,0
36,Travel_Rarely,Research & Development,10,3,4,Male,3,Healthcare Representative,Married,8321,7,Yes,3,4,1,15,1,3,12,8,5,7
48,Travel_Rarely,Research & Development,1,2,1,Male,2,Laboratory Technician,Single,5381,9,Yes,3,4,0,23,2,3,1,0,0,0
37,Non-Travel,Research & Development,5,2,3,Male,4,Laboratory Technician,Single,3500,0,No,3,1,0,7,2,1,6,5,1,3
30,Travel_Frequently,Research & Development,5,3,2,Female,3,Laboratory Technician,Single,2422,0,No,3,1,0,4,3,3,3,2,1,2
54,Travel_Rarely,Research & Development,1,3,4,Female,3,Research Director,Single,17328,6,No,3,4,0,29,3,2,20,7,12,7
38,Travel_Frequently,Research & Development,23,3,4,Male,2,Manufacturing Director,Single,9526,0,No,4,2,0,10,2,3,9,7,1,8
35,Travel_Rarely,Sales,7,1,4,Male,3,Sales Representative,Married,2404,1,No,3,1,1,1,3,3,1,0,0,0
36,Non-Travel,Sales,10,4,2,Male,3,Sales Executive,Single,9980,1,No,3,4,0,10,3,2,10,3,9,7
27,Travel_Rarely,Research & Development,6,3,4,Male,2,Research Scientist,Married,2539,1,No,3,3,1,4,0,3,4,2,2,2
29,Travel_Frequently,Research & Development,1,4,2,Male,1,Research Scientist,Divorced,2720,1,No,3,4,1,10,5,3,10,7,2,8
27,Travel_Rarely,Research & Development,2,1,1,Male,3,Laboratory Technician,Married,3468,9,No,3,4,1,6,3,3,2,2,2,2
21,Travel_Rarely,Research & Development,3,2,4,Male,2,Research Scientist,Single,3230,1,No,3,1,0,3,4,4,3,2,1,0
43,Travel_Rarely,Research & Development,8,3,1,Female,3,Manufacturing Director,Divorced,4765,4,No,4,3,1,4,2,4,1,0,0,0
30,Travel_Rarely,Sales,2,1,3,Male,3,Sales Representative,Married,2476,1,No,3,1,1,1,3,3,1,0,0,0
40,Travel_Rarely,Sales,10,4,1,Male,2,Sales Executive,Divorced,9705,2,No,3,2,1,11,2,2,1,0,0,0
36,Travel_Frequently,Research & Development,11,3,2,Male,2,Manufacturing Director,Single,6499,1,No,3,3,0,6,3,3,6,5,0,3
22,Travel_Rarely,Research & Development,6,1,1,Male,3,Research Scientist,Married,2773,0,No,4,4,0,3,3,3,2,2,2,2
18,Travel_Frequently,Sales,3,2,2,Female,3,Sales Representative,Single,1569,1,Yes,3,3,0,0,2,4,0,0,0,0
40,Travel_Frequently,Research & Development,9,4,2,Female,3,Research Director,Single,13499,9,No,3,3,0,20,3,2,18,7,2,13
47,Travel_Rarely,Research & Development,4,3,3,Female,2,Manufacturing Director,Divorced,10333,8,Yes,3,3,1,28,4,3,22,11,14,10
31,Travel_Frequently,Research & Development,2,3,2,Male,3,Laboratory Technician,Married,3722,6,Yes,3,3,1,7,2,1,2,2,2,2
40,Non-Travel,Research & Development,8,1,4,Male,2,Research Director,Divorced,13757,2,No,3,3,1,16,5,3,9,8,4,8
58,Travel_Rarely,Research & Development,9,3,2,Female,2,Research Scientist,Married,3346,4,Yes,4,2,1,9,3,2,1,0,0,0
31,Travel_Frequently,Research & Development,3,3,4,Female,3,Research Scientist,Single,4084,1,No,3,1,0,7,2,1,7,2,7,7
50,Travel_Rarely,Sales,28,3,4,Male,2,Sales Executive,Divorced,10854,4,Yes,3,2,1,20,3,3,3,2,2,0
49,Travel_Rarely,Sales,11,4,4,Female,3,Sales Executive,Single,4507,3,No,3,3,0,8,1,4,5,1,0,4
52,Non-Travel,Research & Development,19,4,4,Male,3,Research Scientist,Married,4258,0,No,3,1,1,5,3,3,4,3,1,2
28,Travel_Frequently,Research & Development,6,3,3,Male,2,Research Scientist,Divorced,2703,1,Yes,3,4,1,3,2,3,3,1,0,2
27,Travel_Frequently,Research & Development,2,3,4,Male,3,Research Scientist,Single,2580,2,No,3,3,0,6,0,2,4,2,1,2
37,Travel_Frequently,Research & Development,9,3,2,Male,3,Research Scientist,Married,2326,1,Yes,3,3,3,4,3,2,4,2,1,2
58,Travel_Rarely,Sales,21,3,4,Female,3,Manager,Married,17875,4,Yes,3,3,1,29,2,2,1,0,0,0
54,Travel_Rarely,Sales,2,4,3,Female,2,Sales Executive,Married,10686,6,No,3,2,1,13,4,3,9,4,7,0
38,Travel_Rarely,Sales,7,4,4,Female,2,Sales Executive,Single,4028,0,No,4,1,0,8,2,3,7,7,0,5
20,Travel_Rarely,Research & Development,3,3,1,Male,2,Laboratory Technician,Single,3033,1,No,3,1,0,2,2,2,2,2,1,2
40,Travel_Rarely,Research & Development,1,3,3,Female,3,Healthcare Representative,Divorced,6513,4,No,3,4,1,12,3,3,5,3,0,3
21,Travel_Rarely,Research & Development,1,1,4,Female,2,Research Scientist,Single,2070,1,Yes,3,3,0,2,6,4,2,2,2,2
35,Travel_Frequently,Sales,12,4,4,Male,3,Sales Executive,Single,4581,3,Yes,4,1,0,13,2,4,11,9,6,7
23,Travel_Rarely,Research & Development,4,1,3,Female,3,Laboratory Technician,Single,3295,1,No,3,3,0,3,3,1,3,2,1,2
31,Travel_Rarely,Research & Development,8,4,3,Female,3,Manufacturing Director,Single,4424,1,No,4,4,0,11,2,3,11,7,1,8
35,Travel_Rarely,Research & Development,1,3,4,Male,2,Laboratory Technician,Single,2450,1,No,3,2,0,3,3,3,3,0,1,2
39,Travel_Rarely,Sales,3,2,4,Female,3,Sales Executive,Married,5238,4,Yes,3,1,0,12,3,2,1,0,0,0
31,Travel_Frequently,Research & Development,15,3,3,Male,3,Laboratory Technician,Married,2610,1,No,3,3,1,2,5,2,2,2,2,2
38,Travel_Rarely,Research & Development,17,1,3,Female,2,Healthcare Representative,Married,8823,0,No,3,1,1,20,4,2,19,9,1,9
36,Travel_Rarely,Sales,11,4,2,Female,2,Sales Executive,Married,6652,4,No,3,1,1,8,2,2,6,3,0,0
49,Travel_Rarely,Research & Development,5,4,1,Male,3,Healthcare Representative,Married,6651,2,No,3,2,1,20,0,2,3,2,1,2
24,Travel_Rarely,Human Resources,22,1,4,Male,1,Human Resources,Married,1555,1,No,3,3,1,1,2,3,1,0,0,0
36,Travel_Frequently,Research & Development,3,3,3,Male,3,Research Scientist,Married,3692,1,No,3,3,0,12,2,2,11,10,0,7
41,Travel_Rarely,Research & Development,9,4,3,Male,3,Laboratory Technician,Married,2238,2,No,4,4,1,7,2,3,5,0,1,4
38,Travel_Rarely,Research & Development,4,2,4,Female,3,Laboratory Technician,Married,3306,7,No,3,4,1,7,5,2,0,0,0,0
36,Travel_Rarely,Research & Development,8,3,3,Female,3,Healthcare Representative,Divorced,10096,1,No,3,2,3,17,2,3,17,14,12,8
36,Travel_Rarely,Research & Development,2,3,4,Female,3,Research Scientist,Married,2543,4,No,3,2,1,6,3,3,2,2,2,2
32,Travel_Rarely,Research & Development,25,4,1,Male,3,Laboratory Technician,Single,2795,1,Yes,4,3,0,1,2,1,1,0,0,1
34,Travel_Rarely,Research & Development,1,3,4,Female,2,Laboratory Technician,Married,3294,5,No,3,1,1,7,2,2,5,4,0,2
20,Travel_Rarely,Sales,9,1,4,Male,3,Sales Representative,Single,2728,1,No,3,1,0,2,3,3,2,2,0,2
40,Non-Travel,Sales,28,3,3,Male,1,Sales Executive,Divorced,10932,3,No,3,3,1,20,2,3,1,0,0,1
22,Travel_Rarely,Research & Development,2,1,3,Male,3,Laboratory Technician,Married,2523,0,No,3,3,1,3,2,3,2,1,2,1
32,Travel_Rarely,Research & Development,1,3,1,Male,3,Manufacturing Director,Married,6162,1,Yes,4,2,1,9,3,3,9,8,7,8
34,Travel_Rarely,Research & Development,5,2,2,Male,2,Laboratory Technician,Married,3986,1,No,3,3,1,15,3,4,15,10,4,13
40,Travel_Frequently,Research & Development,9,4,4,Male,3,Research Scientist,Divorced,3617,8,Yes,3,4,1,3,2,3,1,1,0,0
41,Travel_Rarely,Sales,2,4,4,Male,3,Manager,Single,16015,1,No,3,2,0,22,2,3,22,10,0,4
34,Travel_Rarely,Research & Development,19,3,2,Female,2,Research Scientist,Married,2929,1,No,3,2,0,10,3,3,10,9,8,7
31,Travel_Rarely,Research & Development,2,4,2,Male,3,Laboratory Technician,Married,3477,1,No,3,4,1,6,2,4,5,2,0,3
35,Travel_Rarely,Research & Development,16,3,1,Male,4,Laboratory Technician,Married,2426,0,No,3,3,1,6,5,3,5,4,0,3
35,Travel_Rarely,Sales,17,4,3,Male,3,Sales Executive,Married,8966,3,Yes,3,4,3,15,2,3,7,7,1,7
27,Non-Travel,Research & Development,8,5,1,Male,1,Laboratory Technician,Married,4621,1,No,3,4,3,3,4,3,3,2,1,2
50,Travel_Rarely,Research & Development,29,4,2,Male,2,Manager,Married,17046,0,No,3,2,1,28,2,3,27,10,15,7
34,Travel_Rarely,Sales,1,3,4,Male,2,Sales Executive,Married,7083,1,Yes,3,4,0,10,3,3,10,9,8,6
32,Travel_Rarely,Sales,10,3,4,Male,3,Sales Executive,Single,5396,1,No,3,4,0,10,2,2,10,7,0,8
49,Travel_Frequently,Research & Development,28,2,1,Male,2,Laboratory Technician,Single,4284,3,No,4,1,0,20,2,3,4,3,1,3
38,Travel_Rarely,Sales,10,2,1,Female,3,Sales Executive,Married,5343,1,No,3,3,1,10,1,3,10,7,1,9
35,Travel_Rarely,Research & Development,6,4,2,Male,1,Research Scientist,Single,6646,1,No,3,2,0,17,3,3,17,11,11,8
19,Travel_Rarely,Research & Development,2,3,2,Male,2,Laboratory Technician,Single,1102,1,No,4,3,0,1,3,2,1,0,1,0
36,Travel_Rarely,Sales,2,4,3,Male,3,Sales Representative,Single,2644,3,Yes,4,4,0,7,3,2,3,2,1,2
54,Travel_Rarely,Research & Development,19,4,4,Female,3,Manufacturing Director,Divorced,5485,9,Yes,3,2,2,9,4,3,5,3,1,4
